Date,Month,Week,Channel,Type,Theme,Topic,Description,Season,Holiday,SEO Phase
2027-01-02,Month 11,Week 1,Instagram,Post,Product Highlight,Baseball Netting Close-Up,Showcase durability.,Winter,New Year,Domination
2027-01-03,Month 11,Week 1,YouTube Shorts,Short,Education,Why EZ Netting Lasts Longer,Quick demo.,Winter,New Year,Domination
2027-01-04,Month 11,Week 1,Facebook,Ad,Traffic,New Year Baseball Ad,Target parents + coaches.,Winter,New Year,Domination
2027-01-05,Month 11,Week 1,Google,Ad,Search,Baseball Netting Search Ad,High-intent keywords.,Winter,New Year,Domination

2027-01-06,Month 11,Week 2,Instagram,Post,Customer Use Case,Baseball Family Highlight,Customer story.,Winter,None,Domination
2027-01-08,Month 11,Week 2,Facebook,Post,Behind the Scenes,New Year Production Workflow,Show craftsmanship.,Winter,None,Domination
2027-01-10,Month 11,Week 2,Instagram,Reel,Education,Preseason Training Tips,Educational.,Winter,None,Domination

2027-01-12,Month 11,Week 3,Facebook,Post,Promotion,New Year Training Sale,Seasonal promo.,Winter,None,Domination
2027-01-13,Month 11,Week 3,Instagram,Story,Promotion,Sale Countdown,Holiday promo.,Winter,None,Domination
2027-01-14,Month 11,Week 3,Facebook,Ad,Conversions,New Year Promo Ad,Conversions.,Winter,None,Domination
2027-01-15,Month 11,Week 3,Google,Ad,Search,New Year Netting Search Ad,Seasonal keywords.,Winter,None,Domination

2027-01-16,Month 11,Week 3,Instagram,Reel,Product Highlight,Best Netting for Preseason,Educational.,Winter,None,Domination
2027-01-18,Month 11,Week 3,Facebook,Post,Customer Use Case,Preseason Testimonial,Highlight a coach.,Winter,None,Domination
2027-01-20,Month 11,Week 3,Instagram,Post,Installation,Preseason Installations Gallery,5–7 photos.,Winter,None,Domination

2027-01-22,Month 11,Week 4,Facebook,Post,Seasonal Prep,Baseball Season Approaching,Promote early orders.,Winter,None,Domination
2027-01-24,Month 11,Week 4,Instagram,Post,Product Highlight,Baseball Netting Materials,Showcase quality.,Winter,None,Domination
2027-01-26,Month 11,Week 4,YouTube Shorts,Short,Education,How to Measure for Baseball Netting,Quick demo.,Winter,None,Domination
2027-01-27,Month 11,Week 4,Facebook,Ad,Traffic,Baseball Preseason Ad,Target coaches.,Winter,None,Domination
2027-01-28,Month 11,Week 4,Google,Ad,Search,Baseball Preseason Search Ad,High-intent keywords.,Winter,None,Domination

2027-02-01,Month 12,Week 1,Facebook,Post,Seasonal Prep,Preseason Baseball Begins,Promote batting cages.,Winter,None,Domination
2027-02-02,Month 12,Week 1,Instagram,Post,Product Highlight,Batting Cage Netting Close-Up,Showcase durability.,Winter,None,Domination
2027-02-03,Month 12,Week 1,YouTube Shorts,Short,Education,Top 3 Preseason Netting Tips,Quick demo.,Winter,None,Domination
2027-02-04,Month 12,Week 1,Facebook,Ad,Traffic,Preseason Baseball Ad,Target parents + coaches.,Winter,None,Domination
2027-02-05,Month 12,Week 1,Google,Ad,Search,Preseason Baseball Search Ad,High-intent keywords.,Winter,None,Domination

2027-02-06,Month 12,Week 2,Instagram,Post,Customer Use Case,Baseball Coach Highlight,Customer story.,Winter,None,Domination
2027-02-08,Month 12,Week 2,Facebook,Post,Behind the Scenes,Preseason Production Workflow,Show craftsmanship.,Winter,None,Domination
2027-02-10,Month 12,Week 2,Instagram,Reel,Education,Preseason Training Tips,Educational.,Winter,None,Domination

2027-02-12,Month 12,Week 3,Facebook,Post,Promotion,Preseason Sale,10% Off Baseball Netting.,Winter,None,Domination
2027-02-13,Month 12,Week 3,Instagram,Story,Promotion,Sale Countdown,Promo.,Winter,None,Domination
2027-02-14,Month 12,Week 3,Facebook,Ad,Conversions,Preseason Promo Ad,Conversions.,Winter,Valentine’s Day,Domination
2027-02-15,Month 12,Week 3,Google,Ad,Search,Preseason Netting Search Ad,Seasonal keywords.,Winter,None,Domination

2027-02-16,Month 12,Week 3,Instagram,Reel,Product Highlight,Choosing the Right Batting Cage Netting,Educational.,Winter,None,Domination
2027-02-17,Month 12,Week 3,Facebook,Post,Customer Use Case,Preseason Testimonial,Highlight a baseball family.,Winter,None,Domination

